"script_id","imdb_id","title","year","gross","lines_data"
1534,"tt1022603","(500) Days of Summer",2009,37,743544525677477444334257777565774443444456445674543367553452777734237544553444343334444444467441433777777777777776634344344434244343433435535624644435776576434333377775756764434344466346764533566544444777533356445543543343334444535476332345777777777777776
1512,"tt0147800","10 Things I Hate About You",1999,65,177775232027453334445777772243377733444376467744677740424516733144464355045563543423354653735714457434333434243540000354213722445102431377774150047353236346777770432577633435475477734777720434517632245454363064653552333354735636524467333433433433530001363
1514,"tt0417385","12 and Holding",2005,"",54613577777542124545444413677744334465476477533416774357535660534376444724437777421544734354157437777135461357777754212454544441367774433446547647753341677435753566053437644472443777742154473435415743777713
1517,"tt2024544","12 Years a Slave",2013,60,4567334777777777777777447777756477777444777777777777443453437553133677762333344777777777777764355777777777651
1520,"tt1542344","127 Hours",2010,20,453513352345765766777777773340
6537,"tt0450385",1408,2007,91,37677777777777777776777737566646444336777661
3778,"tt0103594","1492: Conquest of Paradise",1992,15,6677777755777777777743367646776777777777777777577775777777577765777625667777777572
623,"tt0179626","15 Minutes",2001,37,77777777777777777777777736777777744577777777777772344757753355477744433323344356777777777752577635346746777777777777777357775630
1525,"tt0974661","17 Again",2009,74,7667676775564344777777776764653356777477725754325365623325777777534744435353535677635756555332457623346757667766776465343777777777673673336777567734772424464723324777777633754434453535577735674735522447715237663
6030,"tt1272878","2 Guns",2013,80,36765777777777576766742575636777775777777777777774447777777777777446777777777775477777766766736777777777777777777777777777455777767667777
625,"tt0062622","2001: A Space Odyssey",1968,376,77777344575756777777777777777777777777777777777777774
1509,"tt1190080",2012,2009,192,777763446720677667777645766367446667764316655466674767775067754553577577674574677756546763676434755546776777735447513677667777555674475456677745137563656774767772277744634677576754765677754656744776155655457761
8543,"tt0478087",21,2008,98,667777777777777766777777765477777755653777776767775334777667777667754667476576776777577761
7834,"tt2294449","22 Jump Street",2014,204,7766777777777777744677777767767777774676345466233437777777777464457634467767777777777775634454763364566777767777777545777777775777667624777536
630,"tt0307901","25th Hour",2002,19,7777775254554345777756357747777777777777657777777734177577477774777777777777765443367777777547777765663
3784,"tt0191754","28 Days",2000,59,"011400251020230262311"
6360,"tt0289043","28 Days Later...",2002,67,77775656553332513364744366633674233634453455754441577667476777577732662266334
7597,"tt0463854","28 Weeks Later",2007,36,53445555437566432643437272453366145776156777536766557632
8209,"tt2172934","3 Days to Kill",2014,32,46456777777777433444344341444343333334243333233424322343347777777643456574544344346653344332426555534265475251343247543223454335320223
1408,"tt0094137","3 Men and a Baby",1987,373,777777777777777777776777777775557667777777777777777777777777777777777777777777777777777777732535466777777471
7678,"tt0075612","3 Women",1977,"","020000301001012230"
8671,"tt0389722","30 Days of Night",2007,50,77763444444477564465663554446554754446666637544344455673535446345345565743553645332
1530,"tt1622547","30 Minutes or Less",2011,40,777777774333357777777777777777777777777777777777777746777777777777644437777557657777777777776777777677777766767777676556777763
7770,"tt0416449",300,2006,280,77775557777754756734757777777777777776467777777777777645477777777602256277777773
3789,"tt0381849","3:10 to Yuma",2007,67,5457777777774576677767777655667555676677777777777777777777777777777777777777777777777777775
1502,"tt0453562",42,2013,101,7777777777343577733553576546777777777765567377615777745777777777777767477677427667767662777777434443777777777777777777435761
1532,"tt0083511","48 Hrs.",1982,224,773435775443477665754455677744347677544777776777777777756777777777777754536777777777777777777777735564367764777773254456744677744677753437773443677566735446777724277677346777767777777777747777777777777654357777777777777777777777545644477737777753354367644
3770,"tt1306980","50/50",2011,38,34777777777763777774333244344433244735775433577776464454566347547755654575342433343543367564345433343567777335664653333546777361
1537,"tt0134273","8MM",1999,62,544644533234436777777777600177577777777733423777777773577777777777777777777746433526777777777777554464373233344477777777763005775777777775243357777777537777777777777777777775553443477777777777764
5820,"tt0268978","A Beautiful Mind",2001,262,777777777747777777777777434425547643266677775445445567743327742543552567767677745773
6574,"tt0120633","A Civil Action",1998,105,554577777777677777777776637771
4022,"tt0066921","A Clockwork Orange",1971,"",774477777777777544577777777777773455556777777777777777777777777776
2190,"tt0097243","A Dry White Season",1989,8,746567777647755764477624457755777656755544777765575677774677377446764435676567775577364377775
1538,"tt0104257","A Few Good Men",1992,295,436747777777753633434677434437777777777764346777755676675436535756676667576446775466454657777777777777777476643457777777734577777777777753357776572534357776745435777777777777777775775434475677777776444434357754344577777777777443577775666757644464375757757
8880,"tt0401445","A Good Year",2006,9,7756646567567346775562363315647351463252332534776333545363344324545775536735577
8007,"tt0399146","A History of Violence",2005,42,775425442777777657777634333566676655635365567674675565547542242457634474455634427744642444246777777
7931,"tt0266465","A Man Apart",2003,37,766523547762653777646777777777777774777777677777764777765457677776766777776
